Delegado;Tiempo de respuesta;Uso de CPU;Transacciones perdidas
0;509.047845;1.2;0
1;492.190721;4.6;0
2;434.392316;6.3;0
3;429.359951;5.5;0
4;436.082002;8.4;0
5;434.625111;1.8;0
6;418.611953;1.8;0
7;442.46804;0.0;0
8;430.537591;0.9;0
9;421.331741;0.9;0
10;437.006813;0.0;0
11;438.308856;0.0;0
12;428.202517;0.0;0
13;419.799032;1.8;0
14;424.270008;0.0;0
15;430.959823;0.9;0
16;410.879559;0.9;0
17;410.512884;0.9;0
18;441.220927;0.0;0
19;408.201173;0.9;0
20;424.940599;0.9;0
21;418.536381;0.9;0
22;435.614009;0.0;0
23;431.685367;0.9;0
24;437.876414;0.0;0
25;441.386189;0.0;0
26;419.123586;0.0;0
27;414.560588;0.9;0
28;437.263704;0.9;0
29;429.637407;0.9;0
30;432.766198;0.9;0
31;440.883483;0.9;0
32;412.153172;0.9;0
33;439.295207;0.0;0
34;436.233669;0.0;0
35;442.673329;0.9;0
36;434.161341;0.0;0
37;439.198673;0.0;0
38;436.050993;0.9;0
39;434.389115;0.0;0
40;418.411492;0.9;0
41;412.198904;2.8;0
42;442.855191;0.0;0
43;392.217934;2.8;0
44;439.083756;2.7;0
45;416.489814;0.9;0
46;422.187184;0.9;0
47;436.120834;1.8;0
48;399.389251;1.9;0
49;416.259346;0.9;0
50;400.267921;1.9;0
51;418.192921;0.0;0
52;431.523945;0.9;0
53;435.973095;0.9;0
54;410.422975;1.8;0
55;419.323318;0.0;0
56;410.375171;0.9;0
57;416.661846;1.8;0
58;434.384786;0.0;0
59;425.873014;0.9;0
60;438.42695;0.0;0
61;423.145038;0.0;0
62;437.77608;0.9;0
63;435.547254;0.9;0
64;436.951768;0.9;0
65;428.133362;0.0;0
66;436.06611;0.0;0
67;409.116165;0.9;0
68;399.837136;0.0;0
69;432.188411;0.9;0
70;424.216475;0.9;0
71;416.027049;0.0;0
72;422.411105;0.9;0
73;435.679832;0.9;0
74;431.377856;0.9;0
75;419.167485;2.8;0
76;453.046939;0.0;0
77;420.164809;0.9;0
78;421.03213;0.9;0
79;405.112305;0.9;0
80;436.31837;0.0;0
81;428.988351;1.8;0
82;421.245875;0.0;0
83;384.070753;1.0;0
84;432.064506;0.9;0
85;420.15973;0.9;0
86;434.425741;1.8;0
87;427.252903;0.0;0
88;429.017351;0.0;0
89;430.9829;0.9;0
90;437.97823;0.0;0
91;419.868538;0.9;0
92;420.332082;0.9;0
93;425.096919;0.0;0
94;425.127331;0.9;0
95;410.978139;1.9;0
96;417.427905;0.9;0
97;417.437415;0.9;0
98;418.131588;0.9;0
99;413.237782;2.8;0
100;417.014295;0.0;0
101;430.811536;0.0;0
102;431.991759;0.0;0
103;418.126674;0.0;0
104;412.221815;0.9;0
105;411.172638;0.9;0
106;438.879677;0.0;0
107;429.003191;0.9;0
108;432.967072;0.9;0
109;431.310203;0.9;0
110;436.027522;0.9;0
111;412.334059;0.9;0
112;411.102267;0.0;0
113;411.998893;0.0;0
114;410.238383;0.0;0
115;426.136078;0.9;0
116;405.811028;0.9;0
117;432.098817;0.9;0
118;428.985925;0.9;0
119;417.43648;1.8;0
120;435.975493;0.0;0
121;424.275394;0.0;0
122;417.946314;0.9;0
123;432.526221;0.0;0
124;438.387323;2.7;0
125;425.762561;0.0;0
126;438.298692;0.9;0
127;437.015246;3.6;0
128;442.086081;0.9;0
129;412.039121;0.9;0
130;434.072425;0.0;0
131;404.980798;0.0;0
132;412.180068;0.0;0
133;406.61448;0.9;0
134;431.174722;0.9;0
135;412.785264;0.9;0
136;436.03379;0.9;0
137;414.230038;0.9;0
138;417.471962;1.8;0
139;394.154053;0.0;0
140;407.878028;0.9;0
141;419.259662;0.0;0
142;441.393983;0.9;0
143;422.176788;0.0;0
144;418.115499;0.0;0
145;425.990966;0.0;0
146;442.226936;0.0;0
147;437.581029;1.8;0
148;436.714019;1.8;0
149;430.147869;3.6;0
150;419.386729;0.0;0
151;413.19335;0.9;0
152;407.2512;0.9;0
153;432.219927;0.9;0
154;443.931149;0.0;0
155;417.282544;0.0;0
156;410.044811;0.0;0
157;422.9947;0.0;0
158;406.001343;1.9;0
159;418.96485;0.9;0
160;429.039059;0.9;0
161;417.417891;0.0;0
162;414.958185;0.9;0
163;430.022352;1.8;0
164;410.934013;0.9;0
165;426.021353;0.0;0
166;419.207539;0.0;0
167;435.952081;0.9;0
168;441.029839;0.9;0
169;432.062;0.0;0
170;429.251069;0.9;0
171;432.258111;0.9;0
172;433.031157;1.8;0
173;423.232446;0.9;0
174;423.940586;2.8;0
175;422.998096;2.7;0
176;424.380051;0.0;0
177;416.071099;0.9;0
178;394.094074;1.9;0
179;429.371421;0.0;0
180;408.000795;1.8;0
181;419.01927;0.9;0
182;431.031069;0.0;0
183;400.227092;0.0;0
184;421.892615;0.0;0
185;412.979911;0.0;0
186;428.00428;1.8;0
187;430.964926;0.9;0
188;429.231864;0.0;0
189;434.08138;0.9;0
190;421.697046;0.9;0
191;421.009547;1.8;0
