Delegado;Tiempo de respuesta;Uso de CPU;Transacciones perdidas
1;497.375485;0.0;0
0;534.220216;1.2;0
3;398.667684;5.3;0
2;408.24702;0.0;0
4;409.617534;3.0;0
5;419.214219;33.3;0
6;413.662714;5.0;0
7;425.69288;25.0;0
8;407.187695;3.0;0
9;424.347998;22.2;0
10;406.627899;3.2;0
11;423.877201;0.0;0
12;427.051158;2.1;0
13;401.318284;0.0;0
14;435.973204;1.0;0
15;409.835574;25.0;0
17;387.34322;0.0;0
16;440.336851;11.1;0
18;431.882681;0.0;0
19;398.82041;16.6;0
20;417.396637;0.9;0
21;430.266861;16.6;0
22;423.195604;2.9;0
23;412.630254;0.0;0
25;405.280135;8.6;0
24;427.950408;0.0;0
26;425.312757;0.9;0
27;423.542249;0.0;0
28;426.471758;1.9;0
29;434.07569;0.0;0
30;408.052204;1.0;0
31;405.760441;0.0;0
33;418.878896;0.0;0
32;436.271861;0.9;0
35;403.690776;5.7;0
34;431.325586;0.0;0
36;402.966806;2.0;0
37;423.143702;0.0;0
38;410.317341;0.0;0
39;393.808327;11.1;0
40;423.165779;1.0;0
41;425.189251;0.0;0
42;405.644601;1.0;0
43;407.433674;0.0;0
44;399.981733;1.0;0
45;406.648891;0.0;0
46;432.623703;1.0;0
47;426.995727;12.5;0
48;423.173306;3.0;0
49;426.067289;0.0;0
50;423.041852;1.0;0
51;418.203228;0.0;0
52;412.658536;1.0;0
53;420.726809;0.0;0
54;412.055822;1.0;0
55;398.959385;16.6;0
56;433.700433;1.9;0
57;437.422113;0.0;0
58;407.122348;2.0;0
59;413.549599;0.0;0
60;411.181938;1.0;0
61;399.444329;0.0;0
62;417.697536;0.0;0
63;416.504174;16.6;0
65;394.059161;2.8;0
64;430.274783;0.0;0
67;404.50839;1.9;0
66;426.162896;0.0;0
68;424.093597;0.0;0
69;423.082965;0.0;0
70;403.352913;2.0;0
71;417.134974;0.0;0
72;424.12427;1.0;0
73;417.230189;0.0;0
75;381.994054;0.0;0
74;414.881214;0.0;0
77;406.026609;0.0;0
76;435.28151;0.0;0
78;422.736784;1.9;0
79;426.16037;0.0;0
80;425.107076;2.0;0
81;432.152606;9.0;0
82;419.078654;0.0;0
83;422.128939;0.0;0
84;424.704553;1.0;0
85;405.39841;0.0;0
86;406.082141;1.0;0
87;400.134484;0.0;0
88;389.317299;1.0;0
89;400.423943;0.0;0
90;425.044667;0.0;0
91;417.10427;0.0;0
92;401.077754;0.0;0
93;419.044092;0.0;0
94;408.578744;1.0;0
95;431.394968;0.0;0
96;422.174015;1.0;0
97;429.983851;0.0;0
98;421.020561;5.6;0
99;424.012442;0.0;0
100;424.062226;0.0;0
101;426.131652;0.0;0
102;419.353361;1.1;0
103;424.38421;4.5;0
104;396.934465;0.0;0
105;424.89412;0.0;0
106;405.535229;2.5;0
107;399.105528;0.0;0
108;423.231096;1.2;0
109;419.385665;0.0;0
110;423.204602;1.2;0
111;410.652203;4.7;0
112;429.331727;1.1;0
113;418.304032;0.0;0
114;416.090098;2.2;0
115;399.03308;7.6;0
116;421.255227;2.1;0
117;416.849607;0.0;0
118;416.994907;1.0;0
119;426.050768;0.0;0
120;411.22035;2.1;0
121;404.211933;0.0;0
122;423.320798;0.0;0
123;407.570209;0.0;0
124;416.516346;3.0;0
125;401.584463;20.0;0
126;417.574118;0.9;0
127;417.033279;33.3;0
129;405.322288;1.9;0
128;420.157182;33.3;0
130;422.108289;0.0;0
131;431.033559;0.0;0
133;380.779764;1.0;0
132;436.334066;14.2;0
134;430.117796;0.0;0
135;430.264518;10.0;0
136;419.096901;1.0;0
137;398.163711;0.0;0
138;423.995331;0.0;0
139;423.06115;0.0;0
140;393.274235;1.0;0
141;404.346823;0.0;0
142;422.998956;1.0;0
143;410.119931;0.0;0
144;408.944833;3.0;0
145;406.026632;0.0;0
146;411.606271;2.0;0
147;426.098672;11.1;0
148;415.942782;0.0;0
149;412.917689;0.0;0
151;386.155635;0.0;0
150;422.415789;0.0;0
153;401.036651;1.0;0
152;417.902657;0.0;0
154;425.303254;0.9;0
155;417.297614;0.0;0
156;409.806149;0.0;0
157;400.000896;66.6;0
158;403.993166;1.0;0
159;417.155338;0.0;0
160;417.989168;2.9;0
161;419.065894;20.0;0
162;401.962499;2.0;0
163;395.050362;0.0;0
164;458.216763;0.0;0
165;425.25826;0.0;0
166;412.009869;1.0;0
167;399.242568;0.0;0
169;392.253744;1.0;0
168;427.687455;0.0;0
170;413.126462;1.0;0
