Delegado;Tiempo de respuesta;Uso de CPU;Transacciones perdidas
0;602.591752;1.0;0
1;725.637042;20.0;0
2;424.8445;14.2;0
3;413.109731;0.0;0
4;399.179559;6.4;0
5;399.549831;12.5;0
6;426.767661;5.1;0
7;407.00055;0.0;0
8;407.563487;5.0;0
9;423.92085;0.0;0
10;394.220651;4.3;0
11;387.269258;0.0;0
12;397.822527;4.1;0
13;397.762526;0.0;0
14;420.659497;2.0;0
15;419.062705;16.6;0
16;411.081614;1.0;0
17;418.33074;14.2;0
18;416.308347;0.0;0
19;402.091354;0.0;0
21;400.728331;1.0;0
20;416.371935;0.0;0
22;418.953542;0.9;0
23;415.098663;0.0;0
24;416.461937;0.9;0
25;416.323777;50.0;0
26;395.087645;2.0;0
27;429.714994;12.5;0
29;412.153711;0.0;0
28;418.676261;1.0;0
30;413.971612;0.0;0
31;424.960793;0.0;0
32;419.488748;1.9;0
33;424.504401;20.0;0
34;399.21154;2.0;0
35;396.865749;0.0;0
37;397.994756;1.0;0
36;423.774772;0.0;0
38;381.219315;0.0;0
39;414.02496;0.0;0
40;424.180805;1.0;0
41;429.267196;0.0;0
42;407.430857;3.2;0
43;406.896423;0.0;0
44;381.157961;1.2;0
45;397.335631;5.5;0
46;405.830935;1.2;0
47;414.317829;5.5;0
48;406.108451;3.5;0
49;423.396731;8.6;0
50;417.437775;0.0;0
51;419.165016;4.3;0
52;411.370206;0.0;0
53;399.822969;5.0;0
54;424.341524;1.1;0
55;413.079318;0.0;0
56;423.025762;1.1;0
57;421.608153;6.2;0
58;416.081743;2.1;0
59;420.539402;0.0;0
60;419.12562;1.1;0
61;407.572901;0.0;0
62;421.575176;1.0;0
63;403.524687;0.0;0
64;425.32018;1.0;0
65;416.686243;0.0;0
66;402.323748;1.0;0
67;404.10733;0.0;0
68;400.763764;1.0;0
69;413.380188;10.0;0
70;418.255471;0.0;0
71;419.321904;8.3;0
72;418.379271;1.0;0
73;399.070247;0.0;0
74;413.149691;1.0;0
75;412.010146;0.0;0
76;412.072261;1.0;0
77;407.077679;0.0;0
78;406.170028;1.0;0
79;412.220548;0.0;0
80;417.173256;0.0;0
81;404.107801;20.0;0
82;418.377442;1.9;0
83;420.43805;0.0;0
84;407.950989;0.0;0
85;419.415016;12.5;0
86;421.554625;1.0;0
87;427.484975;11.1;0
88;400.455067;2.1;0
89;414.283411;0.0;0
90;402.531561;1.1;0
91;425.484423;5.8;0
92;419.000589;1.1;0
93;395.22723;0.0;0
94;402.214735;0.0;0
95;435.504123;5.2;0
96;386.108778;1.2;0
97;418.365119;3.8;0
98;404.086216;7.8;0
99;412.397356;0.0;0
100;397.179587;2.8;0
101;393.816813;0.0;0
102;423.114512;2.7;0
103;410.006194;0.0;0
104;393.617729;0.0;0
105;383.968628;3.7;0
106;419.018459;2.5;0
107;387.198939;0.0;0
108;418.892526;2.2;0
109;422.991151;0.0;0
110;400.191929;0.0;0
111;413.124799;5.8;0
112;415.05665;1.1;0
113;416.104813;0.0;0
114;426.86908;2.2;0
115;404.419541;0.0;0
116;393.03718;5.5;0
117;424.211741;0.0;0
118;418.431104;0.0;0
119;408.89867;0.0;0
120;400.017871;1.2;0
121;417.967366;4.5;0
122;425.088109;1.1;0
123;411.001044;0.0;0
124;393.592936;1.2;0
125;425.733416;4.0;0
126;424.666232;0.0;0
127;423.179834;3.5;0
128;420.777465;3.7;0
129;408.497134;0.0;0
130;417.114596;0.0;0
131;423.731837;3.8;0
132;418.186969;0.0;0
133;423.891225;0.0;0
134;406.919761;0.0;0
135;392.667249;4.3;0
136;411.986092;3.7;0
137;416.560448;0.0;0
138;398.099225;2.5;0
139;421.343253;0.0;0
140;407.075556;0.0;0
141;423.943389;5.8;0
142;405.042112;0.0;0
143;405.199545;0.0;0
144;423.031159;2.7;0
145;417.095328;0.0;0
146;425.108937;0.0;0
147;403.052218;3.5;0
148;423.351939;0.0;0
149;413.894233;0.0;0
150;418.053213;0.0;0
151;405.051235;0.0;0
152;417.161872;1.1;0
153;419.956561;0.0;0
154;404.136881;4.8;0
155;396.006629;0.0;0
156;401.276984;1.1;0
157;424.381315;0.0;0
158;417.895737;0.0;0
159;406.277727;0.0;0
160;426.289298;0.0;0
161;395.271995;7.6;0
162;410.960652;0.0;0
163;416.000971;7.6;0
164;395.967063;1.1;0
165;405.940845;0.0;0
166;397.002828;2.3;0
167;425.109316;0.0;0
168;430.333429;0.0;0
169;416.539317;0.0;0
170;423.95482;5.8;0
171;407.307966;5.5;0
172;384.033346;0.0;0
173;416.09758;0.0;0
174;419.268352;1.2;0
175;411.247246;4.3;0
176;422.536252;1.1;0
177;414.067868;0.0;0
178;393.995174;0.0;0
179;411.05973;4.3;0
180;412.011939;0.0;0
181;419.033437;0.0;0
