Delegado;Tiempo de respuesta;Uso de CPU;Transacciones perdidas
0;511.335891;1.3;0
1;498.148803;6.3;0
2;437.27973;4.5;0
3;436.640894;3.7;0
4;437.663125;4.5;0
5;417.900496;2.8;0
6;405.64796;0.9;0
7;424.649703;1.8;0
8;429.494643;0.9;0
9;437.05569;0.0;0
10;443.363719;0.8;0
11;433.997753;0.9;0
12;430.487488;1.8;0
13;431.155522;0.0;0
14;452.355179;1.7;0
15;423.800152;1.8;0
16;436.707421;5.5;0
17;434.063876;0.9;0
18;434.214412;0.9;0
19;437.217709;0.8;0
20;416.807051;1.8;0
21;437.677317;0.0;0
22;436.27449;0.0;0
23;430.309142;1.8;0
24;418.609555;0.9;0
25;432.719737;0.9;0
26;434.634967;0.0;0
27;435.647905;0.9;0
28;417.194635;0.9;0
29;430.531258;0.9;0
30;433.216489;0.9;0
31;424.50426;0.9;0
32;424.275377;1.8;0
33;436.238292;0.0;0
34;436.050181;0.9;0
35;412.822438;0.9;0
36;442.251981;0.0;0
37;436.890545;0.9;0
38;413.756788;0.0;0
39;420.500334;0.9;0
40;438.221962;0.0;0
41;436.134519;0.9;0
42;440.290208;0.0;0
43;437.151718;0.0;0
44;436.129751;0.0;0
45;436.039602;0.0;0
46;411.169422;0.9;0
47;417.827154;0.9;0
48;435.708641;0.9;0
49;442.411465;0.9;0
50;435.059844;1.7;0
51;428.097989;0.9;0
52;423.602009;0.0;0
53;434.491116;0.9;0
54;436.257214;0.0;0
55;434.141261;1.8;0
56;422.85337;0.9;0
57;449.553476;0.0;0
58;411.090991;0.0;0
59;413.844755;0.9;0
60;436.686007;0.0;0
61;429.832584;0.0;0
62;411.166131;0.0;0
63;437.739561;0.9;0
64;441.129951;0.8;0
65;431.100885;1.8;0
66;431.427901;0.0;0
67;428.974292;1.8;0
68;436.795033;0.0;0
69;440.516876;1.7;0
70;422.126423;0.9;0
71;413.298144;0.0;0
72;433.348077;0.9;0
73;430.134633;0.9;0
74;431.053098;0.9;0
75;435.093495;0.9;0
76;442.638799;0.9;0
77;442.114971;0.0;0
78;439.949631;1.8;0
79;437.17398;0.0;0
80;435.10937;0.0;0
81;435.586151;1.7;0
82;435.108378;0.0;0
83;442.053689;0.0;0
84;431.083797;0.9;0
85;434.206138;0.9;0
86;431.28018;0.9;0
87;403.081999;0.9;0
88;437.084935;0.0;0
89;428.058138;0.0;0
90;416.814043;1.8;0
91;434.208104;1.8;0
92;428.91519;0.0;0
93;414.073454;0.0;0
94;436.075152;0.9;0
95;416.548163;0.0;0
96;435.787209;0.9;0
97;416.033309;0.9;0
98;447.315276;0.9;0
99;411.335953;3.7;0
100;441.23951;0.0;0
101;438.386821;0.9;0
102;435.144595;0.0;0
103;436.331261;0.0;0
104;435.282839;0.9;0
105;435.091524;0.9;0
106;462.373409;0.8;0
107;435.102975;0.0;0
108;416.30812;0.0;0
109;436.051898;0.0;0
110;437.979859;0.0;0
111;435.078005;1.8;0
112;430.085223;0.9;0
113;440.079104;0.0;0
