Delegado;Tiempo de respuesta;Uso de CPU;Transacciones perdidas
0;508.19518;1.8;0
1;494.844927;7.0;0
2;420.879004;4.8;0
3;434.318864;3.6;0
4;436.864488;3.6;0
5;436.833043;2.7;0
6;438.326782;0.9;0
7;413.659424;0.9;0
8;437.489584;0.0;0
9;433.163986;0.9;0
10;441.842248;0.9;0
11;437.715062;3.6;0
12;438.502624;0.0;0
13;441.102512;1.7;0
14;410.687076;0.0;0
15;444.088433;0.9;0
16;416.472669;0.0;0
17;439.895723;0.0;0
18;432.229617;0.9;0
19;434.551575;0.0;0
20;438.157018;0.0;0
21;434.94899;4.5;0
22;437.154513;0.0;0
23;436.664643;0.0;0
24;485.555806;0.0;0
25;438.423217;0.9;0
26;418.349339;0.9;0
27;439.642551;0.0;0
28;424.192072;0.9;0
29;435.678598;1.8;0
30;418.483243;0.0;0
31;436.858687;0.0;0
32;433.200752;1.7;0
33;434.287385;0.9;0
34;436.088616;0.0;0
35;434.819202;1.8;0
36;440.316585;0.0;0
37;435.148012;0.9;0
38;432.259001;0.9;0
39;439.245824;0.0;0
40;437.521341;0.0;0
41;438.231641;0.0;0
42;441.150185;0.9;0
43;437.239277;0.9;0
44;441.701859;0.0;0
45;406.537676;1.9;0
46;436.536859;0.0;0
47;416.096266;0.9;0
48;436.421496;2.7;0
49;417.199015;1.8;0
50;413.432204;0.0;0
51;409.221902;0.9;0
52;425.842408;0.9;0
53;413.708261;0.9;0
54;424.216607;1.8;0
55;413.099771;0.9;0
56;416.664571;0.0;0
57;435.785794;0.0;0
58;431.589635;0.9;0
59;434.135164;0.9;0
60;411.195495;0.9;0
61;437.727664;0.0;0
62;434.361955;1.8;0
63;418.271914;0.9;0
64;434.675747;1.8;0
65;434.11391;0.0;0
66;434.020772;1.8;0
67;430.587104;0.0;0
68;435.07234;0.0;0
69;410.344102;0.9;0
70;417.325611;1.9;0
71;434.112745;0.9;0
72;412.892163;0.0;0
73;436.064088;0.9;0
74;416.363398;0.9;0
75;414.07393;0.9;0
76;425.086801;0.0;0
77;439.08013;0.0;0
78;435.476861;0.0;0
79;437.434681;0.9;0
80;436.233769;0.0;0
81;413.046264;0.0;0
82;434.103258;0.0;0
83;435.975636;0.0;0
84;435.314076;0.0;0
85;434.11816;1.8;0
86;437.78165;0.0;0
87;418.93077;1.8;0
88;418.065058;0.0;0
89;428.337368;0.0;0
90;435.045803;1.8;0
91;436.829836;0.0;0
92;433.063102;0.9;0
93;437.018796;0.0;0
94;412.388261;0.0;0
95;434.844131;0.9;0
96;429.927585;0.9;0
97;430.095562;0.0;0
98;414.160658;0.0;0
99;430.262196;3.6;0
100;437.047137;0.0;0
101;434.866825;0.9;0
102;436.522915;0.0;0
103;429.058264;0.9;0
104;433.492833;0.9;0
105;417.288157;0.0;0
106;435.901447;1.8;0
107;417.047169;0.0;0
108;418.351493;0.9;0
109;417.012497;0.0;0
110;436.135558;0.9;0
111;436.071512;1.8;0
112;437.075266;0.0;0
113;411.307675;0.0;0
114;436.025899;0.9;0
115;438.090559;0.9;0
116;435.983901;0.0;0
117;410.072137;0.0;0
118;437.93535;0.9;0
119;430.028021;0.9;0
120;437.175944;0.9;0
121;436.006515;0.0;0
122;421.981928;0.9;0
123;423.320467;0.0;0
124;432.231169;1.8;0
125;412.596758;0.0;0
126;437.045308;0.0;0
127;405.796683;2.8;0
128;417.105015;0.0;0
129;416.964104;0.9;0
130;433.820726;0.0;0
131;437.036367;0.0;0
132;439.72795;0.8;0
133;417.250813;0.0;0
134;431.467914;0.0;0
135;436.801541;1.8;0
136;412.128225;0.0;0
137;419.120184;1.8;0
138;417.94851;1.8;0
139;418.983293;0.0;0
140;418.806855;0.0;0
141;434.820327;0.9;0
142;435.940885;0.0;0
143;437.94752;0.0;0
144;417.082563;0.9;0
145;444.355855;1.8;0
146;405.061616;1.8;0
147;439.295695;0.9;0
148;434.018776;0.9;0
149;410.989838;0.9;0
150;428.303419;0.9;0
151;446.90596;0.0;0
152;416.969999;0.0;0
153;422.991167;0.0;0
154;436.811628;0.9;0
155;438.411033;0.9;0
156;411.017129;0.0;0
157;436.071387;0.0;0
158;435.0534;0.0;0
159;417.032976;0.9;0
160;416.288148;0.0;0
161;409.237863;0.9;0
162;436.318147;0.0;0
163;437.976929;1.7;0
164;417.018463;2.8;0
165;410.997001;0.9;0
166;435.152793;0.9;0
167;417.325316;0.9;0
168;419.139677;0.9;0
169;435.004897;0.9;0
170;436.179;0.9;0
171;436.027369;0.9;0
172;436.283108;0.0;0
173;420.044526;0.9;0
174;429.016455;1.8;0
175;434.09051;0.9;0
176;427.067703;0.7;0
177;443.986702;0.9;0
178;428.152006;2.7;0
179;426.277641;0.0;0
180;436.581061;0.9;0
181;420.002485;0.0;0
182;432.159348;0.0;0
183;438.027733;0.0;0
184;434.98876;0.9;0
185;435.919011;0.0;0
186;433.006213;0.9;0
187;428.52202;1.8;0
188;435.175538;0.0;0
189;430.232041;0.9;0
190;435.681393;0.9;0
191;421.951715;1.8;0
192;436.084728;0.0;0
193;435.959959;0.0;0
194;438.654628;0.9;0
195;433.933432;0.9;0
196;434.0843;0.0;0
197;431.265347;0.9;0
198;441.94883;0.9;0
199;440.463634;0.0;0
200;415.909773;0.0;0
201;434.817199;0.9;0
202;411.187988;0.9;0
203;435.087936;1.8;0
204;411.481894;2.8;0
205;416.615685;1.9;0
206;438.926889;0.9;0
207;416.164933;0.0;0
208;416.945459;0.9;0
209;424.312944;0.0;0
210;393.9087;0.0;0
211;413.948967;0.0;0
212;412.888655;0.0;0
213;433.941853;0.9;0
214;428.212138;0.9;0
215;434.037124;1.8;0
216;411.144683;0.9;0
217;419.672852;0.0;0
218;437.949808;1.8;0
219;417.730606;0.9;0
220;432.23897;0.0;0
221;436.990563;0.0;0
222;422.930003;0.9;0
223;434.270839;0.9;0
224;415.277416;1.9;0
225;422.892742;0.9;0
226;434.913764;0.0;0
227;428.89527;0.0;0
228;436.947792;0.0;0
229;429.893841;0.9;0
230;429.915463;0.0;0
231;436.755464;0.0;0
232;410.947333;0.0;0
233;422.068042;0.9;0
234;429.339454;0.0;0
235;429.195269;0.0;0
236;415.084782;0.9;0
237;420.158234;0.0;0
238;436.033319;0.0;0
239;434.294874;0.0;0
240;435.901974;0.0;0
241;428.934298;0.9;0
242;435.101003;0.9;0
243;415.046898;0.0;0
244;436.596817;0.0;0
245;410.996352;0.0;0
246;435.344974;0.0;0
247;431.138066;0.9;0
248;429.025212;0.0;0
249;430.307473;0.9;0
250;395.086574;1.9;0
251;410.413761;2.9;0
252;430.071889;0.9;0
253;439.098633;0.9;0
254;435.55033;0.0;0
255;443.842506;0.8;0
256;436.443609;0.0;0
257;434.108826;0.0;0
258;430.085412;0.9;0
259;428.242392;0.0;0
260;434.106087;0.9;0
261;437.582403;0.0;0
262;434.97355;0.0;0
263;418.170769;0.9;0
264;436.06111;0.0;0
265;434.208148;0.9;0
266;436.915808;0.0;0
267;416.960724;0.9;0
268;435.050535;0.0;0
269;422.920037;1.8;0
270;425.125752;0.0;0
271;430.905087;0.9;0
272;434.927518;0.9;0
273;416.183905;0.0;0
274;434.137263;0.9;0
275;422.271606;0.0;0
276;435.133777;0.0;0
277;434.030772;0.0;0
278;434.058713;0.9;0
279;434.856584;0.0;0
280;405.216543;0.9;0
281;436.943046;0.9;0
282;428.968327;0.9;0
283;430.956795;0.0;0
284;436.631755;0.9;0
285;434.11523;0.9;0
286;393.828087;0.0;0
287;430.976758;0.9;0
288;436.986819;0.0;0
289;429.92284;0.0;0
290;413.385203;0.0;0
291;415.875151;0.0;0
292;437.259466;0.0;0
293;434.904552;0.9;0
294;433.019242;1.8;0
295;433.93591;0.0;0
296;410.995776;0.0;0
297;417.193857;0.9;0
298;422.152493;0.9;0
299;435.186523;0.0;0
300;394.815039;0.0;0
301;495.916013;0.0;0
302;437.117054;0.8;0
303;429.035023;0.9;0
304;437.019624;0.0;0
305;411.888901;0.0;0
306;430.900233;0.9;0
307;431.222305;0.9;0
308;433.898495;0.0;0
309;433.956292;0.9;0
310;425.760245;0.9;0
311;414.967667;0.0;0
312;435.142724;0.0;0
313;427.918844;0.0;0
314;434.872854;0.0;0
315;411.835485;0.0;0
316;433.922757;0.0;0
317;418.807038;1.8;0
318;416.000698;0.0;0
319;424.072496;0.9;0
320;430.925408;0.0;0
321;438.08799;0.0;0
322;434.980522;0.9;0
323;436.90163;0.9;0
324;421.365175;0.0;0
325;435.938641;0.0;0
326;436.92013;0.0;0
327;416.093917;0.0;0
328;434.858843;0.0;0
329;415.228276;0.9;0
330;420.582307;0.9;0
331;411.25682;0.0;0
332;418.060818;0.9;0
333;413.861519;0.0;0
334;436.149689;0.0;0
335;395.873843;1.9;0
336;430.390392;0.0;0
337;410.898099;0.9;0
338;419.937247;0.0;0
339;432.912798;0.8;0
340;435.190038;2.3;0
341;429.932592;0.0;0
342;422.914355;0.8;0
343;435.893094;0.0;0
344;419.441908;0.0;0
345;410.843144;0.9;0
346;431.957315;0.8;0
347;412.864823;0.8;0
348;431.20538;0.0;0
349;410.88981;0.0;0
350;410.961809;0.8;0
351;434.80786;0.0;0
352;436.992402;0.9;0
353;418.039096;0.0;0
354;417.992545;0.0;0
355;436.296353;2.7;0
356;437.16471;0.0;0
357;436.271779;2.7;0
358;434.837792;0.0;0
359;418.925363;0.0;0
360;421.952462;0.0;0
361;435.954839;1.8;0
362;434.549984;0.9;0
363;412.815272;0.9;0
364;437.560198;0.0;0
365;437.871175;0.0;0
366;435.699777;0.0;0
367;439.81589;0.0;0
368;411.846049;0.0;0
369;435.880764;0.0;0
370;421.830314;0.9;0
371;431.12215;0.0;0
372;436.893249;1.7;0
373;420.795405;0.0;0
374;418.933071;0.0;0
375;436.845023;0.0;0
376;435.098739;0.9;0
377;433.865223;0.9;0
378;436.866657;0.0;0
379;434.949795;0.9;0
380;426.641949;1.8;0
381;412.447869;0.9;0
382;435.039333;2.7;0
383;434.396009;0.0;0
384;412.037751;1.8;0
385;435.940699;0.9;0
386;431.234469;0.9;0
387;410.973014;0.0;0
388;431.115719;1.8;0
389;432.923877;0.0;0
390;451.327405;0.8;0
391;433.650432;1.8;0
392;436.975672;0.0;0
393;436.204932;0.0;0
394;416.978293;0.0;0
395;433.85736;0.0;0
396;422.847706;0.9;0
397;417.023505;1.8;0
