Delegado;Tiempo de respuesta;Uso de CPU
1;155.157946;0.0
0;154.906781;0.0
3;27.277661;0.0
2;28.604879;0.0
4;3.014828;0.0
5;2.55289;0.0
7;2.340125;0.0
6;3.372943;0.0
8;3.326579;0.0
9;2.699094;0.0
10;2.873743;0.0
11;6.541086;0.0
12;3.455432;0.0
13;2.707343;0.0
14;3.169565;0.0
15;2.585032;0.0
16;2.348943;0.0
17;2.297174;0.0
18;2.306561;0.0
19;2.480072;0.0
20;2.191929;0.0
21;2.414365;0.0
22;2.805476;0.0
23;2.404978;0.0
24;2.619165;0.0
25;2.215538;0.0
26;2.205298;0.0
27;3.050383;0.0
28;1.970916;0.0
29;2.108872;0.0
30;2.189938;0.0
31;2.021263;0.0
33;2.100907;39.1
32;2.15552;39.1
34;1.982294;39.1
35;2.195343;39.1
36;2.304569;39.1
37;2.11257;39.1
38;2.075876;39.1
39;2.280107;39.1
40;2.111431;39.1
41;2.45817;39.1
42;2.180267;39.1
43;2.41721;39.1
44;2.023254;39.1
45;2.080143;39.1
46;2.267308;39.1
47;2.04288;39.1
48;2.58361;39.1
49;2.324196;39.1
50;2.010739;39.1
51;2.093796;39.1
52;1.859414;39.1
53;2.037476;39.1
54;2.540659;39.1
55;2.303148;39.1
56;1.867378;39.1
57;2.70137;39.1
58;2.047716;39.1
59;2.626277;39.1
60;2.014151;39.1
61;2.032356;39.1
62;2.201885;39.1
63;2.362596;39.1
64;2.14073;39.1
65;2.41721;39.1
66;2.027236;39.1
67;2.150401;39.1
68;1.712356;33.1
69;1.856285;33.1
70;1.85344;33.1
71;1.664569;33.1
72;1.821298;33.1
73;2.072179;33.1
74;1.795129;33.1
75;2.145849;33.1
76;1.714632;33.1
77;1.586347;33.1
78;2.256499;33.1
79;1.753032;33.1
80;1.956125;33.1
81;1.691307;33.1
82;1.798258;33.1
83;2.208427;33.1
84;1.755592;33.1
85;2.061654;33.1
86;1.812481;33.1
87;1.662294;33.1
88;1.980018;33.1
89;1.734543;33.1
90;2.205867;33.1
91;1.622756;33.1
92;1.793707;33.1
93;1.944179;33.1
94;1.571841;33.1
95;1.747343;33.1
96;2.275841;33.1
97;1.90009;33.1
98;2.078436;33.1
99;2.046009;33.1
