Delegado;Tiempo de respuesta;Uso de CPU;Transacciones perdidas
1;931.2219;0.0;0
0;930.398;0.0;0
2;44.2939;0.0;0
3;164.8608;0.0;0
4;10.119;0.0;0
5;21.6435;87.0;0
6;27.8854;87.0;0
7;34.8777;87.0;0
8;13.4081;87.0;0
9;31.4793;97.2;0
10;32.3548;97.2;0
11;9.4749;97.2;0
12;16.0065;97.2;0
14;11.8873;95.2;0
13;21.3871;95.2;0
15;10.0912;95.2;0
16;8.9878;95.2;0
17;11.0765;97.2;0
18;10.2872;97.2;0
19;9.8063;97.2;0
20;10.9122;97.2;0
21;12.978;97.2;0
22;9.6183;97.2;0
23;9.2193;92.6;0
24;9.6271;92.6;0
25;9.0143;92.6;0
26;10.6586;92.6;0
27;10.9504;92.6;0
28;8.8526;92.6;0
29;9.5762;89.8;0
30;18.1435;89.8;0
32;17.4698;89.8;0
31;44.1091;89.8;0
33;9.1816;90.3;0
34;17.1925;90.3;0
35;10.6771;90.3;0
36;12.4455;90.3;0
38;9.0365;90.3;0
37;10.9376;90.3;0
40;24.567;86.9;0
39;8.0668;86.9;0
42;19.0047;86.9;0
41;13.1267;86.9;0
43;11.8253;100.0;0
44;13.5095;100.0;0
45;8.4182;100.0;0
46;8.2718;100.0;0
47;8.6513;100.0;0
48;10.7117;93.0;0
49;10.2526;93.0;0
50;8.7739;93.0;0
51;8.7064;93.0;0
52;8.165;93.0;0
53;9.2269;98.6;0
54;29.542;98.6;0
55;11.9929;98.6;0
56;10.0899;98.6;0
57;10.2379;98.6;0
58;8.8517;96.6;0
59;9.3639;96.6;0
60;8.5748;96.6;0
62;21.3907;71.2;0
61;8.8388;71.2;0
63;14.5616;71.2;0
64;17.7222;71.2;0
65;8.4289;71.2;0
66;8.6262;71.2;0
67;24.2788;91.7;0
68;15.6376;91.7;0
69;11.5166;91.7;0
70;9.2005;91.7;0
71;22.4277;91.7;0
72;16.0004;91.7;0
73;9.017;90.7;0
74;11.2452;90.7;0
75;7.8763;90.7;0
76;7.8757;90.7;0
77;8.9952;90.7;0
78;8.5772;90.7;0
79;7.9681;93.2;0
80;8.0318;93.2;0
81;7.8743;93.2;0
82;8.2955;93.2;0
83;9.3135;93.2;0
84;8.7165;93.2;0
85;25.1648;87.8;0
86;7.8111;87.8;0
87;9.5887;87.8;0
88;7.748;87.8;0
90;11.7082;87.8;0
89;7.7385;87.8;0
91;8.3599;87.6;0
92;15.7235;87.6;0
93;9.3315;87.6;0
94;8.9378;87.6;0
95;9.143;87.6;0
96;19.4562;90.5;0
97;10.7672;90.5;0
98;27.6393;90.5;0
99;8.7963;90.5;0
